Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
105623,Ulmi,GR,0.044,0.058,0.061,0.064,0.081,0.069,0.08,0.08,0.094,0.06,0.047,0.055,0.054,0.046,0.031,0.037,0.027,0.014
105712,Valea Argovei,CL,0.042,0.065,0.061,0.049,0.068,0.055,0.063,0.072,0.084,0.055,0.042,0.059,0.047,0.056,0.044,0.064,0.041,0.032
105776,Valea Dragului,GR,0.047,0.043,0.053,0.049,0.074,0.062,0.071,0.086,0.073,0.039,0.051,0.066,0.058,0.065,0.048,0.057,0.036,0.022
105794,Valea Macrisului,IL,0.037,0.065,0.061,0.042,0.058,0.055,0.071,0.065,0.071,0.046,0.039,0.044,0.057,0.054,0.075,0.064,0.058,0.039
105829,Vasilati,CL,0.057,0.068,0.067,0.064,0.083,0.062,0.074,0.075,0.083,0.066,0.038,0.048,0.041,0.039,0.037,0.04,0.033,0.025
105874,Varasti,GR,0.048,0.053,0.057,0.054,0.071,0.071,0.082,0.079,0.076,0.054,0.043,0.056,0.064,0.056,0.042,0.045,0.03,0.019
105909,Vedea,GR,0.041,0.048,0.057,0.053,0.058,0.054,0.074,0.065,0.074,0.04,0.04,0.053,0.065,0.073,0.047,0.067,0.049,0.043
105936,Vidra,IF,0.047,0.051,0.05,0.055,0.079,0.07,0.087,0.08,0.079,0.053,0.047,0.06,0.063,0.056,0.039,0.036,0.025,0.024
105972,Vanatorii Mici,GR,0.048,0.056,0.067,0.07,0.077,0.06,0.075,0.088,0.083,0.053,0.045,0.043,0.049,0.057,0.04,0.041,0.03,0.019
106318,Municipiul Baia Mare,MM,0.043,0.048,0.047,0.055,0.084,0.083,0.089,0.083,0.09,0.048,0.07,0.074,0.064,0.045,0.031,0.025,0.013,0.007
106363,Grosi,MM,0.035,0.053,0.05,0.051,0.064,0.066,0.098,0.102,0.089,0.052,0.051,0.062,0.061,0.059,0.047,0.032,0.019,0.01
106407,Recea,MM,0.041,0.05,0.058,0.06,0.069,0.066,0.085,0.088,0.09,0.044,0.058,0.063,0.063,0.054,0.045,0.033,0.02,0.012
106461,Oras Tautii-Magheraus,MM,0.046,0.053,0.058,0.057,0.076,0.075,0.087,0.087,0.096,0.052,0.057,0.063,0.062,0.047,0.032,0.027,0.017,0.008
106559,Municipiul Sighetu Marmatiei,MM,0.041,0.053,0.053,0.056,0.08,0.077,0.09,0.081,0.08,0.05,0.063,0.071,0.069,0.05,0.036,0.025,0.015,0.009
106620,Sarasau,MM,0.051,0.064,0.061,0.062,0.077,0.081,0.093,0.077,0.077,0.063,0.06,0.058,0.06,0.041,0.028,0.022,0.015,0.009
106648,Vadu Izei,MM,0.036,0.052,0.06,0.056,0.072,0.071,0.09,0.086,0.081,0.044,0.06,0.058,0.056,0.061,0.043,0.04,0.02,0.015
106684,Oras Baia Sprie,MM,0.043,0.058,0.06,0.063,0.08,0.068,0.087,0.084,0.093,0.054,0.064,0.063,0.053,0.047,0.037,0.026,0.014,0.006
106746,Oras Borsa,MM,0.054,0.066,0.062,0.065,0.088,0.084,0.095,0.083,0.072,0.069,0.059,0.055,0.051,0.035,0.026,0.019,0.011,0.006
106782,Oras Cavnic,MM,0.04,0.049,0.058,0.057,0.099,0.075,0.079,0.083,0.082,0.056,0.072,0.064,0.055,0.046,0.036,0.029,0.012,0.008
